"Symbol","Tag"
"NSE:DHOOTTRANS","IPO"
"NSE:LGEINDIA","IPO"
"NSE:ACMESOLAR",""
"NSE:AFFLE",""
"NSE:AJANTPHARM",""
"NSE:AKUMS",""
"NSE:ALIVUS",""
"NSE:ANANDRATHI",""
"NSE:ANGELONE",""
"NSE:APARINDS",""
"NSE:ASTRAMICRO",""
"NSE:ATHERENERG",""
"NSE:AUROPHARMA",""
"NSE:AXISBANK",""
"NSE:BALRAMCHIN",""
"NSE:BANDHANBNK",""
"NSE:BEML",""
"NSE:BHARATFORG",""
"NSE:BOSCHLTD",""
"NSE:BRITANNIA",""
"NSE:CAPLIPOINT",""
"NSE:CCAVENUE",""
"NSE:CGCL",""
"NSE:CHENNPETRO",""
"NSE:COFORGE",""
"NSE:COLPAL",""
"NSE:CRAFTSMAN",""
"NSE:CRIZAC",""
"NSE:CYIENT",""
"NSE:CYIENTDLM",""
"NSE:DABUR",""
"NSE:DATAPATTNS",""
"NSE:DIVISLAB",""
"NSE:DUMMYHDLVR",""
"NSE:DYNAMATECH",""
"NSE:EMCURE",""
"NSE:ENGINERSIN",""
"NSE:FEDERALBNK",""
"NSE:FINCABLES",""
"NSE:GESHIP",""
"NSE:GLAND",""
"NSE:GLENMARK",""
"NSE:GRANULES",""
"NSE:HAL",""
"NSE:HCLTECH",""
"NSE:HDFCBANK",""
"NSE:HEXT",""
"NSE:HFCL",""
"NSE:HINDUNILVR",""
"NSE:HONASA",""
"NSE:ICICIBANK",""
"NSE:IDEA",""
"NSE:IDFCFIRSTB",""
"NSE:INDUSINDBK",""
"NSE:INFY",""
"NSE:IPCALAB",""
"NSE:ITC",""
"NSE:JINDALSAW",""
"NSE:KAJARIACER",""
"NSE:KOTAKBANK",""
"NSE:LALPATHLAB",""
"NSE:LAURUSLABS",""
"NSE:LTM",""
"NSE:MAHSEAMLES",""
"NSE:MARICO",""
"NSE:MCX",""
"NSE:MEESHO",""
"NSE:MIDHANI",""
"NSE:MOTILALOFS",""
"NSE:MPHASIS",""
"NSE:MTARTECH",""
"NSE:NEULANDLAB",""
"NSE:OFSS",""
"NSE:PARAS",""
"NSE:PATANJALI",""
"NSE:PAYTM",""
"NSE:PERSISTENT",""
"NSE:PFOCUS",""
"NSE:PINELABS",""
"NSE:POLICYBZR",""
"NSE:PPLPHARMA",""
"NSE:PWL",""
"NSE:RADICO",""
"NSE:RBLBANK",""
"NSE:RKFORGE",""
"NSE:SAILIFE",""
"NSE:SHYAMMETL",""
"NSE:SOLARINDS",""
"NSE:SONATSOFTW",""
"NSE:STYL",""
"NSE:SYRMA",""
"NSE:TATACOMM",""
"NSE:TATACONSUM",""
"NSE:TATATECH",""
"NSE:TCS",""
"NSE:TECHM",""
"NSE:TORNTPHARM",""
"NSE:UNIMECH",""
"NSE:URBANCO",""
"NSE:VBL",""
"NSE:VIJAYA",""
"NSE:WELCORP",""
"NSE:WELSPUNLIV",""
"NSE:WIPRO",""
"NSE:WOCKPHARMA",""
"NSE:YESBANK",""
"NSE:ZENTEC",""
"NSE:ZYDUSLIFE",""
"E2E",""
"SUDEEPPHRM",""
"AEROFLEX",""
"AEGISLOG","All Time High"
"PARAS","Volume Shocker"
"WELCORP","Strong Momentum"
"JYOTICNC","Trend Breakout"
"ATHERENERG","Other"
"URBANCO","Volume Shocker"
"GODREJAGRO","Volume Shocker"
"FACT","Volume Shocker"
"ENGINERSIN","Volume Shocker"
"CYIENT","Volume Shocker"
"PAYTM","All Time High"
"MAHABANK","Volume Shocker"
"CARTRADE","Volume Shocker"
"JINDALSAW","Volume Shocker, Watch for Entry"
"BALRAMCHIN","All Time High"
"MANYAVAR","Volume Shocker"
"WHIRLPOOL","Volume Shocker"
"INOXINDIA","Volume Shocker"
"BBTC","Volume Shocker"
"MASTEK","Volume Shocker"
"NEWGEN","Volume Shocker"
"NAZARA","Volume Shocker, All Time High"
"ASHOKA","Volume Shocker"
"BALKRISIND","Volume Shocker"
"ASTRAL","Volume Shocker"
"GLAND","Volume Shocker, 52 Week High, All Time High, Strong Momentum, Pullback Entry"
"ALIVUS","Trend Breakout, Volume Shocker, All Time High"
"CAPLIPOINT","Volume Shocker, All Time High"
"STAR","Volume Shocker, All Time High"
"PCJEWELLER","Volume Shocker"
"MIDHANI","Volume Shocker, All Time High"
"SHAREINDIA","Volume Shocker"
"SWANCORP","Volume Shocker"
"AWFIS","Volume Shocker"
"WESTLIFE","Trend Breakout, Volume Shocker"
"PINELABS","Volume Shocker"
